date_scraped,flight_date,route,departure_time,arrival_time,duration_mins,airline,stops,price_usd,price_kes,source
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T14:00:00,2026-04-02T15:10:00,70,FlexFlight,0,150.6,19578,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T18:35:00,2026-04-02T19:35:00,60,Kenya Airways,0,177.6,23088,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T20:50:00,2026-04-02T21:50:00,60,Kenya Airways,0,177.6,23088,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T06:45:00,2026-04-02T07:55:00,70,Hahn Air Systems,0,217.6,28288,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T09:10:00,2026-04-02T14:55:00,345,Jambojet,1,250.28,32536,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T06:50:00,2026-04-02T14:55:00,485,Hahn Air Systems + Jambojet,1,283.9,36907,
2026-04-01,2026-04-02,NBO→MBA,2026-04-02T09:10:00,2026-04-02T15:10:00,360,Jambojet + FlexFlight,2,368.58,47915,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T08:30:00,2026-04-02T09:15:00,45,Safarilink Aviation,0,104.6,13598,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T07:00:00,2026-04-02T07:50:00,50,Safarilink Aviation,0,156.6,20358,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T06:50:00,2026-04-02T07:40:00,50,Hahn Air Systems,0,181.6,23608,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T16:50:00,2026-04-02T17:40:00,50,Kenya Airways,0,227.6,29588,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T06:00:00,2026-04-02T12:55:00,415,Jambojet,1,278.72,36233,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T06:00:00,2026-04-02T12:35:00,395,Jambojet + Kenya Airways,2,288.02,37442,
2026-04-01,2026-04-02,NBO→KIS,2026-04-02T11:30:00,2026-04-02T17:40:00,370,Skyward Express + Kenya Airways,2,291.88,37944,
2026-04-01,2026-04-02,NBO→EDL,2026-04-02T14:00:00,2026-04-04T07:10:00,2470,FlexFlight + Kenya Airways,2,285.2,37076,
2026-04-01,2026-04-03,NBO→MBA,2026-04-03T20:10:00,2026-04-03T21:25:00,75,Jambojet,0,138.12,17955,api
